scenario,region,sources,param,units,class1,class2,x,value,units
Local Data,Colombia,Rdelgado_DANE,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2035,0.034,
Local Data,Colombia,Rdelgado_DANE,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2040,0.034,
Local Data,Colombia,Rdelgado_DANE,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2045,0.033,
Local Data,Colombia,Rdelgado_DANE,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2050,0.033,
Local Data,Colombia,Rdelgado_DANE,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2055,0.033,
Local Data,Colombia,Rdelgado_DANE,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2060,0.033,
Local Data,Colombia,Rdelgado_DANE,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2065,0.033,
Local Data,Colombia,Rdelgado_DANE,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2070,0.033,
Local Data,Colombia,Rdelgado_DANE,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2075,0.033,
Local Data,Colombia,Rdelgado_DANE,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2080,0.033,
Local Data,Colombia,Rdelgado_DANE,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2085,0.033,
Local Data,Colombia,Rdelgado_DANE,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2090,0.033,
Local Data,Colombia,Rdelgado_DANE,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2095,0.033,
Local Data,Colombia,Rdelgado_DANE,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2100,0.033,
Local Data,Colombia,APinchao_ENA2014,watWithdrawBySec,Water Withdrawals (km^3),agriculture,class2,2015,16760,
Local Data,Colombia,APinchao_ENA2014,watWithdrawBySec,Water Withdrawals (km^3),electricity,class2,2015,7739,
Local Data,Colombia,APinchao_ENA2014,watWithdrawBySec,Water Withdrawals (km^3),industry,class2,2015,2106,
Local Data,Colombia,APinchao_ENA2014,watWithdrawBySec,Water Withdrawals (km^3),livestock,class2,2015,3049,
Local Data,Colombia,APinchao_ENA2014,watWithdrawBySec,Water Withdrawals (km^3),mining,class2,2015,1233,
Local Data,Colombia,APinchao_ENA2014,watWithdrawBySec,Water Withdrawals (km^3),municipal,class2,2015,2963,
Local Data,Colombia,APinchao_ENA2014,watConsumBySec,Water Consumption (km^3),agriculture,class2,2015,16760,
Local Data,Colombia,APinchao_ENA2014,watConsumBySec,Water Consumption (km^3),electricity,class2,2015,6465,
Local Data,Colombia,APinchao_ENA2014,watConsumBySec,Water Consumption (km^3),industry,class2,2015,105,
Local Data,Colombia,APinchao_ENA2014,watConsumBySec,Water Consumption (km^3),livestock,class2,2015,3049,
Local Data,Colombia,APinchao_ENA2014,watConsumBySec,Water Consumption (km^3),mining,class2,2015,1233,
Local Data,Colombia,APinchao_ENA2014,watConsumBySec,Water Consumption (km^3),municipal,class2,2015,1293,
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Refined Liquids,class2,2015,1.576711539,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Natural Gas,class2,2015,12.80950414,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Coal,class2,2015,6.244988052,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Hydro,class2,2015,42.46378647,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Others,class2,2015,3.453536929,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Hydro,class2,2020,58.49602402,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Coal,class2,2020,4.754258803,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Natural Gas,class2,2020,10.47725199,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Wind,class2,2020,0.616071048,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Solar,class2,2020,1.409764461,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Biomass,class2,2020,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Geothermal ,class2,2020,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Nuclear,class2,2020,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Refined Liquids,class2,2020,4.14E-03,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Hydro,class2,2025,75.97557467,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Coal,class2,2025,0.439377852,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Natural Gas,class2,2025,1.881844839,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Wind,class2,2025,7.102933182,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Solar,class2,2025,1.982772975,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Biomass,class2,2025,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Geothermal ,class2,2025,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Nuclear,class2,2025,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Refined Liquids,class2,2025,4.72E-04,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Hydro,class2,2030,82.88073103,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Coal,class2,2030,2.36783495,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Natural Gas,class2,2030,8.962399114,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Wind,class2,2030,6.961869458,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Solar,class2,2030,1.982722697,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Biomass,class2,2030,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Geothermal ,class2,2030,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Nuclear,class2,2030,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Refined Liquids,class2,2030,1.69E-03,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Hydro,class2,2035,86.15286309,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Coal,class2,2035,2.703851608,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Natural Gas,class2,2035,10.23424263,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Wind,class2,2035,7.949819971,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Solar,class2,2035,2.264088756,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Biomass,class2,2035,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Geothermal ,class2,2035,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Nuclear,class2,2035,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Refined Liquids,class2,2035,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Hydro,class2,2040,90.3236192,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Coal,class2,2040,3.087552192,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Natural Gas,class2,2040,11.68657185,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Wind,class2,2040,9.077969762,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Solar,class2,2040,2.585382902,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Biomass,class2,2040,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Geothermal ,class2,2040,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Nuclear,class2,2040,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Refined Liquids,class2,2040,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Hydro,class2,2045,94.69628603,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Coal,class2,2045,3.525703098,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Natural Gas,class2,2045,13.34499956,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Wind,class2,2045,10.36621357,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Solar,class2,2045,2.952271528,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Biomass,class2,2045,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Geothermal ,class2,2045,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Nuclear,class2,2045,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Refined Liquids,class2,2045,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Hydro,class2,2050,99.28063887,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Coal,class2,2050,4.026031554,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Natural Gas,class2,2050,15.23877275,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Wind,class2,2050,11.83727086,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Solar,class2,2050,3.371224919,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Biomass,class2,2050,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Geothermal ,class2,2050,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Nuclear,class2,2050,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Refined Liquids,class2,2050,0,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Refined Liquids,class2,2010,0.483342609,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Natural Gas,class2,2010,11.54506951,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Coal,class2,2010,3.464602216,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Hydro,class2,2010,38.0886063,TWh
Local Data,Colombia,RDelgado_UPME,elecByTech,Electricity Generation (TWh),Others,class2,2010,3.206056454,TWh
