"scenario","region","param","sources","class1","class2","x","xLabel","vintage","units","aggregate","classLabel1","classPalette1","classLabel2","classPalette2","origScen","origQuery","origUnits","origX","value","origValue"
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",2045,"Year","Vint_2045","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2045,560.795158333338,2.01886257
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",2050,"Year","Vint_2050","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2050,582.601481944449,2.097365335
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",2055,"Year","Vint_2055","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2055,601.792435000005,2.166452766
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",2060,"Year","Vint_2060","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2060,618.292031944449,2.225851315
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",2065,"Year","Vint_2065","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2065,632.61510555556,2.27741438
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",2070,"Year","Vint_2070","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2070,644.274975000005,2.31938991
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",2075,"Year","Vint_2075","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2075,653.24421444445,2.351679172
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",2080,"Year","Vint_2080","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2080,659.091614722227,2.372729813
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",2085,"Year","Vint_2085","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2085,663.35979444445,2.38809526
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",2090,"Year","Vint_2090","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2090,668.06790694445,2.405044465
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",2095,"Year","Vint_2095","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2095,670.498535833339,2.413794729
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",2100,"Year","Vint_2100","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2100,672.897144722227,2.422429721
"Eg1","Argentina","finalNrgbySec","Sources","transportation","class2",1975,"Year","Vint_1975","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",1975,99.0307073333341,0.3565105464
"Eg1","Argentina","finalNrgbySec","Sources","transportation","class2",1990,"Year","Vint_1990","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",1990,118.53940413889,0.4267418549
"Eg1","Argentina","finalNrgbySec","Sources","transportation","class2",2005,"Year","Vint_2005","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2005,166.714933222224,0.6001737596
"Eg1","Argentina","finalNrgbySec","Sources","transportation","class2",2010,"Year","Vint_2010","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2010,198.627595250002,0.7150593429
"Eg1","Argentina","finalNrgbySec","Sources","transportation","class2",2015,"Year","Vint_2015","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2015,212.171888644168,0.763818799119
"Eg1","Argentina","finalNrgbySec","Sources","transportation","class2",2020,"Year","Vint_2020","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2020,222.73002896278,0.801828104266
"Eg1","Argentina","finalNrgbySec","Sources","transportation","class2",2025,"Year","Vint_2025","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2025,244.715138683335,0.88097449926
"Eg1","Argentina","finalNrgbySec","Sources","transportation","class2",2030,"Year","Vint_2030","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2030,268.019100318335,0.964868761146
"Eg1","Argentina","finalNrgbySec","Sources","transportation","class2",2035,"Year","Vint_2035","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2035,291.464540297225,1.04927234507
"Eg1","Argentina","finalNrgbySec","Sources","transportation","class2",2040,"Year","Vint_2040","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2040,315.156466086669,1.134563277912
