scenario,region,units,subRegion,x,value,subRegType,class,param
SSP2_GFDL_PDSSAT,China,km3,Lake_Balkash,2015,1.189695718,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Mekong,2015,0.648671607,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Ob,2015,0.256638944,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Russia_South_East_Coast,2015,0.181927095,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,South_China_Sea_Coast,2015,0.863207814,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Salween,2015,0.28156469,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Tarim_Interior,2015,7.499625379,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Plateau_of_Tibet_Interior,2015,0.000485,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Xun_Jiang,2015,2.961504056,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Yangtze,2015,31.45643364,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Ziya_He_Interior,2015,26.638479,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Amur,2015,7.75423891,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Bo_Hai_Korean_Bay_North_Coast,2015,9.1929216,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,China_Coast,2015,20.14172375,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Ganges_Bramaputra,2015,0.144907673,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Gobi_Interior,2015,6.5062558,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Hainan,2015,0.366790451,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Hong_(Red_River),2015,0.666151971,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Huang_He,2015,20.72960707,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Indus,2015,0.000142,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Irrawaddy,2015,0.247256675,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Lake_Balkash,2015,1.286652295,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Mekong,2015,0.748701712,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Ob,2015,0.25401468,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Russia_South_East_Coast,2015,0.159412467,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,South_China_Sea_Coast,2015,0.868892647,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Salween,2015,0.265298451,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Tarim_Interior,2015,7.498668669,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Plateau_of_Tibet_Interior,2015,0.000468,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Xun_Jiang,2015,3.071499329,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Yangtze,2015,31.9536951,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Ziya_He_Interior,2015,28.1330947,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,Amur,2015,7.98806708,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,Bo_Hai_Korean_Bay_North_Coast,2015,9.3730931,GCAMBasin,Water,waterConsumption
